order_id,date,store,product,category,gender,unit_price,quantity,discount_pct,payment_method,revenue
SO43690,2025-01-01,Patio Bullrich,Mountain-100 Silver,Mountain,Unisex,34355.04,1,0.1,Tarjeta,30919.54
SO43691,2025-01-02,Caballito,Touring-3000 Yellow,Road,Mujer,23491.66,5,0.1,Efectivo,105712.47
SO43692,2025-01-03,Devoto,Mountain-200 Blue,Mountain,Mujer,59973.02,5,0.0,Transferencia,299865.1
SO43693,2025-01-04,Caballito,Road-650 Black,Road,Hombre,87292.49,2,0.0,Tarjeta,174584.98
SO43694,2025-01-05,Caballito,Road-150 Red,Road,Hombre,21110.33,1,0.0,Tarjeta,21110.33
SO43695,2025-01-06,Alto Palermo,Touring-3000 Yellow,Road,Unisex,111097.44,2,0.0,Tarjeta,222194.88
SO43696,2025-01-07,Devoto,Mountain-200 Blue,Mountain,Mujer,61446.98,3,0.15,Tarjeta,156689.8
SO43697,2025-01-08,Devoto,Touring-3000 Yellow,Road,Unisex,40177.67,2,0.1,Efectivo,72319.81
SO43698,2025-01-09,Devoto,Mountain-200 Blue,Mountain,Unisex,24856.7,2,0.2,Tarjeta,39770.72
SO43699,2025-01-10,Caballito,Mountain-200 Blue,Mountain,Unisex,34200.93,5,0.2,Tarjeta,136803.72
SO43700,2025-01-11,Patio Bullrich,Road-650 Black,Road,Hombre,113134.47,5,0.05,Tarjeta,537388.73
SO43701,2025-01-12,Devoto,Mountain-200 Blue,Mountain,Hombre,82018.41,5,0.1,Tarjeta,369082.84
SO43702,2025-01-13,Caballito,Touring-3000 Yellow,Road,Hombre,69253.11,3,0.15,Efectivo,176595.43
SO43703,2025-01-14,Alto Palermo,Mountain-200 Blue,Mountain,Mujer,83996.69,5,0.1,Tarjeta,377985.11
SO43704,2025-01-15,Patio Bullrich,Road-650 Black,Road,Unisex,60745.65,1,0.0,Tarjeta,60745.65
SO43705,2025-01-16,Alto Palermo,Road-650 Black,Road,Unisex,91654.13,4,0.0,Tarjeta,366616.52
SO43706,2025-01-17,Patio Bullrich,Touring-3000 Yellow,Road,Mujer,20010.19,1,0.0,Tarjeta,20010.19
SO43707,2025-01-18,Caballito,Mountain-100 Silver,Mountain,Mujer,74433.91,1,0.2,Tarjeta,59547.13
SO43708,2025-01-19,Alcorta,Mountain-100 Silver,Mountain,Hombre,31657.88,5,0.05,Transferencia,150374.93
SO43709,2025-01-20,Patio Bullrich,Mountain-200 Blue,Mountain,Mujer,27617.29,4,0.0,Tarjeta,110469.16
SO43710,2025-01-21,Alto Palermo,Road-150 Red,Road,Unisex,50897.37,4,0.05,Efectivo,193410.01
SO43711,2025-01-22,Caballito,Mountain-200 Blue,Mountain,Mujer,24638.9,4,0.05,Efectivo,93627.82
SO43712,2025-01-23,Patio Bullrich,Touring-3000 Yellow,Road,Mujer,24886.48,3,0.0,Efectivo,74659.44
SO43713,2025-01-24,Alcorta,Touring-3000 Yellow,Road,Hombre,47698.4,5,0.0,Efectivo,238492.0
SO43714,2025-01-25,Alcorta,Touring-3000 Yellow,Road,Mujer,117848.61,4,0.05,Efectivo,447824.72
SO43715,2025-01-26,Devoto,Touring-3000 Yellow,Road,Mujer,33409.68,3,0.0,Efectivo,100229.04
SO43716,2025-01-27,Devoto,Touring-3000 Yellow,Road,Hombre,16801.92,2,0.1,Tarjeta,30243.46
SO43717,2025-01-28,Alto Palermo,Road-650 Black,Road,Hombre,95153.26,2,0.0,Efectivo,190306.52
SO43718,2025-01-29,Patio Bullrich,Mountain-100 Silver,Mountain,Mujer,99725.86,3,0.15,Transferencia,254300.94
SO43719,2025-01-30,Patio Bullrich,Touring-3000 Yellow,Road,Hombre,51361.95,3,0.05,Efectivo,146381.56
SO43720,2025-01-31,Devoto,Road-150 Red,Road,Hombre,63790.75,5,0.05,Tarjeta,303006.06
SO43721,2025-02-01,Patio Bullrich,Road-150 Red,Road,Hombre,83226.24,5,0.15,Tarjeta,353711.52
SO43722,2025-02-02,Patio Bullrich,Road-150 Red,Road,Mujer,20046.19,2,0.0,Transferencia,40092.38
SO43723,2025-02-03,Alcorta,Road-150 Red,Road,Hombre,114660.3,4,0.0,Efectivo,458641.2
SO43724,2025-02-04,Devoto,Road-650 Black,Road,Unisex,108101.44,2,0.0,Tarjeta,216202.88
SO43725,2025-02-05,Caballito,Road-150 Red,Road,Hombre,42393.83,4,0.1,Transferencia,152617.79
SO43726,2025-02-06,Devoto,Touring-3000 Yellow,Road,Unisex,16606.98,4,0.05,Transferencia,63106.52
SO43727,2025-02-07,Caballito,Mountain-200 Blue,Mountain,Mujer,113010.81,5,0.1,Tarjeta,508548.65
SO43728,2025-02-08,Alcorta,Road-150 Red,Road,Mujer,67609.19,1,0.0,Tarjeta,67609.19
SO43729,2025-02-09,Alto Palermo,Road-650 Black,Road,Hombre,71634.63,1,0.0,Efectivo,71634.63
SO43730,2025-02-10,Patio Bullrich,Road-650 Black,Road,Hombre,86816.2,3,0.0,Tarjeta,260448.6
SO43731,2025-02-11,Alcorta,Road-150 Red,Road,Unisex,79664.37,5,0.0,Transferencia,398321.85
